Player,Team,Pos,RkOv,FPts,PPG,Ros%,G1 Start,ADP,Big 3 ADP,Starts,% Starts,% SiS,PPS,Median PPS,Median - Mean,PP90,xPP90,xPP90 Δ,gPPS,gPPS Form,23/24 gPPS,gPP90,Ceiling,Floor,GACS%,Mins,Total SP,SPP90,SP%,SP Reliance%,Prev SP,Prev FPts,Prev gPts,ProjFPts,ProjGPts,ProjMins,ProjGS,Big 3 Ros%,ROS Rank,+/-,WARPS,WAR,Last Updated
Matt Doherty,WOL,D,174,174.50,6.02,17,checked,323.80,191.00,25,66,66,7.3,7.0,-0.3,7.9,8.3,-0.4,8.4,6.2,,9.2,14.1,0.6,34,2101,0,0.0,0,0,0,,12.75,6.2,6.9,82,1,42,200,0,0.01,0.13,6/27/2025 12:40pm
Rodrigo Muniz,FUL,F,175,171.00,5.52,40,,67.50,52.00,8,21,25,8.7,7.4,-1.3,16.7,14.6,2.1,6.4,,,9.3,13.5,3.9,46,921,0,0.0,0,0,0,,,9.7,6.3,79,0,14,200,0,0.01,0.06,6/27/2025 12:40pm
Harry Wilson,FUL,M,176,170.50,7.10,40,checked,128.10,168.00,12,32,43,9.7,6.9,-2.9,14.1,12.4,1.7,7.7,7.4,,8.9,17.2,2.2,38,1133,36,2.8,40,7,0,,7.25,8.7,5.9,77,1,78,55,11,0.03,0.33,6/27/2025 12:40pm
Joe Ayodele-Aribo,SOU,M,177,170.25,5.32,5,checked,1098.20,300.00,21,55,55,7.1,6.5,-0.6,7.7,8.0,-0.3,5.9,,,6.5,13.2,1.0,16,1999,0,0.0,0,0,0,,,6.5,5.5,80,1,3,200,0,0.00,0.03,6/27/2025 12:40pm
Alphonse Areola,WHU,G,178,169.25,6.51,30,checked,300.00,300.00,25,66,74,6.5,6.3,-0.3,6.8,7.2,-0.5,8.7,9.2,,8.9,10.5,2.6,19,2258,0,0.0,0,0,0,,,7.7,7.7,90,1,28,200,0,0.00,-0.12,6/27/2025 12:40pm
John McGinn,AVL,M,179,169.00,5.12,61,checked,75.70,85.00,27,71,79,5.6,4.8,-0.8,6.9,7.6,-0.7,4.8,6.3,,5.7,11.0,0.1,24,2209,29,1.2,15,9,2,,-0.50,7.2,4.6,82,1,35,133,67,-0.01,-0.40,6/27/2025 12:40pm
Guglielmo Vicario,TOT,G,180,168.25,7.32,40,checked,300.00,300.00,24,63,92,7.1,5.8,-1.4,7.1,7.5,-0.3,9.0,7.1,,9.0,12.9,1.4,19,2160,0,0.0,0,0,0,,11.00,7.7,7.7,90,1,42,200,0,0.00,0.03,6/27/2025 12:40pm
Casemiro,MUN,M,181,168.25,7.32,32,,193.80,170.00,18,47,47,8.7,7.5,-1.2,11.0,12.3,-1.3,8.5,8.1,,10.7,14.9,2.6,8,1482,0,0.0,0,0,0,,13.25,9.0,7.8,78,0,42,129,-39,0.02,0.32,6/27/2025 12:40pm
Matheus Nunes,MCI,M,182,166.75,6.67,42,checked,1168.70,300.00,19,50,54,9.0,6.3,-2.8,9.9,9.2,0.8,6.6,6.2,,7.1,15.8,2.2,33,1667,7,0.4,4,1,0,,9.75,6.0,4.7,81,1,57,200,0,0.02,0.38,6/27/2025 12:40pm
Emerson,WHU,D,183,166.50,5.37,20,,212.50,166.50,26,68,74,6.2,5.6,-0.6,7.1,7.6,-0.5,7.4,5.3,,8.6,11.8,0.6,34,2104,0,0.0,0,0,0,,,7.2,6.2,83,0,25,200,0,-0.01,-0.16,6/27/2025 12:40pm
Ryan Yates,NOT,M,184,165.00,4.85,14,,1112.20,300.00,18,47,49,6.3,4.5,-1.8,7.9,7.8,0.1,5.8,,,7.2,11.6,1.0,22,1886,2,0.1,2,0,0,,,6.3,5.2,83,0,14,200,0,-0.01,-0.13,6/27/2025 12:40pm
Chris Richards,CRY,D,185,164.00,7.13,40,checked,300.90,149.00,22,58,76,7.8,7.8,0.0,8.0,8.4,-0.4,8.3,8.5,,8.6,14.5,1.0,35,1920,0,0.0,0,0,0,,8.75,2.1,6.1,88,1,75,200,0,0.01,0.21,6/27/2025 12:40pm
Curtis Jones,LIV,M,186,164.00,5.12,31,checked,354.80,151.00,19,50,56,7.1,4.0,-3.1,9.0,8.7,0.3,4.7,5.0,,6.0,14.6,-0.4,38,1685,1,0.1,1,0,0,,4.00,6.8,4.2,73,1,46,200,0,0.00,0.02,6/27/2025 12:40pm
Stephy Mavididi,LEI,F,187,163.25,5.44,31,,104.90,89.50,16,42,48,8.2,6.4,-1.8,9.3,8.7,0.6,5.8,,,7.1,14.2,2.2,26,1588,9,0.5,9,2,0,,,,,,,3,200,0,0.00,0.05,6/27/2025 12:40pm
Omar Khaled Mohamed Abd Elsala Marmoush,MCI,F,188,162.75,10.85,82,checked,300.00,300.00,14,37,88,11.9,9.0,-2.9,13.0,12.8,0.2,6.8,5.2,,7.5,21.5,2.3,41,1170,25,1.9,22,5,1,,6.00,11.8,7.4,80,1,100,23,-16,0.04,0.49,6/27/2025 12:40pm
Arijanet Muric,IPS,G,189,162.50,9.03,13,,300.00,300.00,18,47,69,9.0,9.1,0.1,9.0,8.8,0.2,12.4,,,12.4,16.1,2.0,5,1620,0,0.0,0,0,0,,,7.7,7.7,90,0,0,200,0,0.02,0.36,6/27/2025 12:40pm
Jacob Greaves,IPS,D,190,161.00,6.71,12,checked,368.50,171.00,25,66,93,6.6,8.3,1.7,6.7,7.6,-0.9,10.3,13.2,,10.5,12.4,0.7,13,2205,0,0.0,0,0,0,,9.00,7.3,8.7,88,1,10,200,0,0.00,-0.06,6/27/2025 12:40pm
Ezri Konsa,AVL,D,191,159.75,4.84,30,checked,152.40,300.00,33,87,94,4.9,2.0,-2.9,5.0,4.9,0.0,5.6,4.9,,5.7,10.9,-1.2,42,2936,0,0.0,0,0,0,,6.00,4.2,4.0,86,1,7,200,0,-0.02,-0.63,6/27/2025 12:40pm
Tyler Adams,BOU,M,192,159.50,5.91,19,checked,300.00,300.00,21,55,72,7.1,6.3,-0.9,7.6,7.8,-0.1,6.4,4.2,,7.2,11.9,2.3,14,1953,0,0.0,0,0,0,,5.25,9.6,8.0,84,1,53,88,20,0.00,0.02,6/27/2025 12:40pm
Calvin Bassey,FUL,D,193,159.25,4.55,18,checked,358.70,300.00,34,89,92,4.6,3.8,-0.9,4.7,5.2,-0.5,6.6,6.7,,6.7,8.9,0.3,25,3073,0,0.0,0,0,0,,,1.4,4.1,90,1,7,200,0,-0.02,-0.74,6/27/2025 12:40pm
Sam Morsy,IPS,M,194,158.75,4.96,10,checked,278.40,300.00,31,82,89,5.3,4.3,-1.0,5.4,5.5,-0.0,5.5,7.0,,5.7,9.3,1.3,10,2743,4,0.1,3,5,0,,6.75,5.9,5.1,88,1,0,200,0,-0.02,-0.54,6/27/2025 12:40pm
Harry Maguire,MUN,D,195,158.50,6.10,25,checked,144.70,132.50,19,50,63,8.0,6.8,-1.3,9.0,9.7,-0.7,9.7,7.8,,11.1,15.1,0.9,16,1744,0,0.0,0,0,0,,10.75,5.9,7.5,83,1,46,200,0,0.01,0.23,6/27/2025 12:40pm
Kenny Tete,FUL,D,196,156.00,7.43,31,checked,387.00,155.00,21,55,88,7.8,9.3,1.4,8.4,8.8,-0.4,9.3,10.3,,9.9,12.9,2.8,19,1772,0,0.0,0,0,0,,13.50,4.7,6.6,82,1,89,200,0,0.01,0.22,6/27/2025 12:40pm
Konstantinos Mavropanos,WHU,D,197,155.75,4.87,12,,1149.60,300.00,21,55,58,6.1,5.3,-0.8,7.2,8.5,-1.3,9.4,,,10.8,10.9,1.2,7,2024,0,0.0,0,0,0,,9.00,8.1,7.5,86,0,3,200,0,-0.01,-0.16,6/27/2025 12:40pm
Will Hughes,CRY,M,198,155.00,4.84,8,,300.00,300.00,24,63,73,6.1,5.8,-0.3,6.9,7.1,-0.2,5.4,4.7,,6.4,11.7,0.5,21,2091,59,2.5,39,22,0,,5.00,4.6,4.0,77,0,0,200,0,-0.01,-0.23,6/27/2025 12:40pm
Julio Enciso,IPS,M,199,154.75,6.19,65,checked,117.90,114.00,14,37,44,8.2,7.5,-0.7,12.2,12.0,0.2,6.2,6.4,,9.7,15.2,1.2,25,1145,15,4.7,66,11,0,,,7.8,6.0,65,1,100,57,10,0.01,0.17,6/27/2025 12:40pm
Ruben Dias,MCI,D,200,154.25,5.93,77,checked,98.90,140.00,25,66,93,6.8,6.3,-0.5,6.8,7.0,-0.3,6.3,6.6,,6.3,11.5,2.0,39,2267,0,0.0,0,0,0,,9.75,5.1,4.8,90,1,57,200,0,0.00,-0.01,6/27/2025 12:40pm
Lisandro Martinez,MUN,D,201,154.00,7.70,29,,124.70,145.00,20,53,91,7.7,7.1,-0.6,7.9,7.3,0.6,8.0,,,8.2,14.3,1.1,41,1751,0,0.0,0,0,0,,,,,,,0,200,0,0.01,0.18,6/27/2025 12:40pm
Diogo Jota,LIV,F,202,153.50,6.14,83,,54.80,50.00,14,37,48,6.4,3.4,-3.1,11.9,12.2,-0.3,2.9,,,6.0,12.4,0.5,50,1170,0,0.0,0,0,0,,,9.1,4.3,71,0,96,110,4,-0.01,-0.17,6/27/2025 12:40pm
Jordan Ayew,LEI,F,203,151.50,5.05,17,checked,302.30,182.00,19,50,51,5.4,4.0,-1.4,8.5,8.2,0.3,4.9,3.7,,6.7,9.6,1.2,29,1640,1,4.5,71,0,1,,3.50,8.5,6.3,81,1,46,91,34,-0.02,-0.40,6/27/2025 12:40pm
Amadou Onana,AVL,M,204,151.00,6.04,39,checked,136.00,163.00,20,53,71,6.8,6.3,-0.5,8.8,8.6,0.2,6.0,6.3,,7.4,11.5,2.0,21,1608,0,0.0,0,0,0,,6.00,7.6,6.2,79,1,21,200,0,0.00,-0.05,6/27/2025 12:40pm
Kieran Trippier,NEW,D,205,150.50,6.27,69,,33.60,35.50,14,37,45,9.8,6.0,-3.8,11.1,10.5,0.6,7.7,8.1,,9.8,17.9,1.7,36,1286,72,5.0,65,23,4,,,10.9,8.0,82,0,100,94,-21,0.03,0.42,6/27/2025 12:40pm
Cristian Romero,TOT,D,206,150.50,8.36,66,,82.50,115.00,18,47,86,8.4,7.8,-0.6,9.6,10.1,-0.6,9.2,,,10.5,15.3,1.5,23,1416,0,0.0,0,0,0,,,,,,,57,200,0,0.02,0.28,6/27/2025 12:40pm
Mario Lemina,WOL,M,207,149.25,8.78,19,,245.80,190.00,15,39,88,9.3,7.8,-1.6,9.9,9.4,0.5,8.0,,,8.6,14.6,4.0,19,1360,0,0.0,0,0,0,,,,,,,14,200,0,0.02,0.35,6/27/2025 12:40pm
Sasa Lukic,FUL,M,208,149.00,5.14,6,checked,1156.00,179.00,28,74,93,5.3,4.0,-1.3,5.9,,,5.6,5.1,,6.2,10.0,0.6,10,2338,50,1.9,27,10,0,,4.50,5.8,4.6,79,1,10,200,0,-0.02,-0.48,6/27/2025 12:40pm
Dominic Calvert-Lewin,EVE,F,209,147.50,5.90,47,,104.50,81.00,19,50,73,7.0,5.0,-2.0,8.5,9.9,-1.4,5.2,,,6.5,13.4,0.7,26,1596,0,0.0,0,0,0,,,8.2,5.4,77,0,28,119,0,-0.01,-0.13,6/27/2025 12:40pm
Jack Hinshelwood,BHA,M,210,147.25,5.89,10,,1156.80,300.00,22,58,85,7.2,4.3,-2.9,8.6,7.1,1.5,4.9,6.1,,5.7,13.8,0.5,39,1834,14,0.7,10,4,0,,9.50,6.4,4.9,81,0,7,200,0,0.00,0.04,6/27/2025 12:40pm
Nicolas Dominguez,NOT,M,211,147.00,4.45,11,checked,1071.00,300.00,23,61,62,5.5,6.0,0.5,7.0,7.7,-0.7,5.6,4.4,,7.2,8.8,2.3,9,1943,1,0.1,1,1,0,,3.50,6.7,5.7,74,1,60,200,0,-0.01,-0.34,6/27/2025 12:40pm
Malo Gusto,CHE,D,212,146.50,4.73,36,,106.40,115.50,19,50,58,6.1,5.3,-0.9,7.2,8.0,-0.9,7.1,,,8.6,10.9,1.4,21,1844,0,0.0,0,0,0,,,6.8,5.5,84,0,7,200,0,-0.01,-0.12,6/27/2025 12:40pm
Tyler Dibling,SOU,M,213,146.50,4.44,10,checked,300.00,300.00,20,53,59,5.8,3.9,-1.9,7.1,7.2,-0.1,4.4,,,5.9,10.9,0.6,23,1854,12,0.6,10,2,0,,,5.7,4.3,76,1,17,200,0,-0.01,-0.25,6/27/2025 12:40pm
Timothy Castagne,FUL,D,214,144.25,6.01,16,,140.60,167.00,17,45,52,8.0,7.5,-0.5,7.9,8.9,-0.9,9.2,,,9.8,14.0,2.0,17,1635,0,0.0,0,0,0,,,,,,,14,200,0,0.01,0.21,6/27/2025 12:40pm
Victor Kristiansen,LEI,D,215,142.75,4.92,7,,1075.40,167.00,29,76,83,5.1,4.8,-0.4,5.4,6.4,-1.0,9.2,,,9.7,9.8,0.4,9,2480,30,1.1,20,6,0,,9.25,2.8,6.9,88,0,7,200,0,-0.02,-0.49,6/27/2025 12:40pm
Jefferson Lerma,CRY,M,216,142.00,4.44,8,checked,310.90,300.00,26,68,76,5.6,5.5,-0.1,6.0,6.5,-0.5,5.7,6.4,,6.2,9.0,2.2,8,2266,0,0.0,0,0,0,,9.00,5.4,4.7,84,1,7,200,0,-0.01,-0.37,6/27/2025 12:40pm
Vitaly Janelt,BRF,M,217,141.50,4.42,14,,267.40,300.00,27,71,84,4.9,3.0,-1.9,5.7,5.8,-0.1,4.2,,,5.0,10.1,-0.3,23,2244,1,0.0,1,1,0,,,,,,,10,200,0,-0.02,-0.57,6/27/2025 12:40pm
Ian Maatsen,AVL,D,218,141.25,5.04,65,,82.80,84.00,10,26,27,8.4,7.6,-0.8,11.4,11.5,-0.1,6.9,6.0,,10.9,14.7,2.0,30,1111,7,0.6,7,2,0,,3.00,7.7,6.8,76,0,85,109,14,0.02,0.16,6/27/2025 12:40pm
Djed Spence,TOT,D,219,141.00,5.88,31,,368.50,150.00,19,50,58,7.1,5.3,-1.8,7.0,7.7,-0.7,9.5,6.4,,9.6,15.4,-1.3,30,1785,0,0.0,0,0,0,,,5.6,8.0,89,1,75,200,0,0.00,0.05,6/27/2025 12:40pm
Ryan Manning,SOU,D,220,140.50,5.85,4,,374.20,300.00,18,47,58,6.9,6.9,-0.0,8.7,9.4,-0.7,9.7,10.9,,12.1,11.7,2.1,14,1450,47,2.9,52,33,0,,,4.8,7.4,75,0,71,200,0,0.00,0.02,6/27/2025 12:40pm
Wout Faes,LEI,D,221,140.25,4.25,8,checked,368.50,300.00,30,79,86,4.6,3.8,-0.8,4.6,5.2,-0.6,8.0,5.4,,8.0,9.0,0.1,19,2809,0,0.0,0,0,0,,7.75,2.2,6.8,90,1,10,200,0,-0.02,-0.67,6/27/2025 12:40pm
Andre Trindade da Costa Neto,WOL,M,222,138.75,4.34,9,checked,300.00,300.00,31,82,89,4.7,4.0,-0.7,5.3,5.6,-0.3,4.9,6.1,,5.5,7.6,1.8,5,2469,0,0.0,0,0,0,,6.00,5.2,4.4,81,1,3,200,0,-0.02,-0.73,6/27/2025 12:40pm
Simon Adingra,BHA,M,223,137.00,4.89,40,,96.40,90.50,12,32,34,7.0,5.8,-1.3,11.6,11.7,-0.1,5.6,5.1,,8.4,13.1,0.9,28,1069,1,0.1,1,4,0,,1.00,11.7,8.4,78,1,46,86,-6,0.00,0.00,6/27/2025 12:40pm
Ethan Nwaneri,ARS,M,224,135.50,5.42,39,,300.00,300.00,11,29,31,9.1,7.0,-2.1,15.6,12.5,3.1,7.0,,,10.4,17.8,0.4,35,867,29,2.9,34,8,5,,15.00,10.9,7.6,64,0,89,78,24,0.02,0.23,6/27/2025 12:40pm
Jake O'Brien,EVE,D,225,134.75,7.09,26,checked,300.00,300.00,17,45,46,8.5,7.8,-0.8,8.4,7.9,0.6,7.9,6.1,,8.1,15.3,1.7,34,1565,0,0.0,0,0,0,,6.00,3.4,6.2,90,1,92,84,-1,0.02,0.29,6/27/2025 12:40pm
Tosin Adarabioyo,CHE,D,226,133.75,6.37,15,,198.20,182.00,15,39,39,8.6,10.5,1.9,9.4,8.3,1.1,6.8,,,7.9,15.5,1.6,40,1400,0,0.0,0,0,0,,8.00,7.1,6.5,88,0,3,200,0,0.02,0.27,6/27/2025 12:40pm
Mats Wieffer,BHA,M,227,129.75,5.41,28,checked,327.30,159.00,10,26,36,11.5,12.4,0.9,13.2,11.7,1.5,8.2,10.8,,10.9,17.1,5.8,24,990,0,0.0,0,0,0,,15.00,10.4,8.6,77,1,53,65,11,0.05,0.45,6/27/2025 12:40pm
Rodrigo Bentancur,TOT,M,228,129.00,5.16,11,checked,376.70,300.00,21,55,78,6.4,6.5,0.1,7.3,7.1,0.2,6.1,4.9,,7.2,10.8,1.9,16,1635,0,0.0,0,0,0,,6.25,5.6,4.7,70,1,14,200,0,-0.01,-0.13,6/27/2025 12:40pm
Jack Clarke,IPS,F,229,127.75,4.12,4,checked,300.00,300.00,12,32,34,6.7,5.4,-1.3,10.4,10.4,-0.1,6.0,4.8,,8.8,10.8,2.5,18,1139,7,0.5,10,5,0,,,8.5,6.4,66,1,7,200,0,-0.01,-0.12,6/27/2025 12:40pm
Jacob Ramsey,AVL,M,230,127.50,4.55,18,,233.00,140.00,19,50,66,4.9,2.8,-2.1,7.1,7.2,-0.1,3.5,,,5.5,10.0,-0.3,30,1605,0,0.0,0,0,0,,,6.2,3.7,71,0,17,200,0,-0.02,-0.41,6/27/2025 12:40pm
Manuel Ugarte,MUN,M,231,127.25,4.39,13,checked,300.00,300.00,22,58,69,5.1,4.5,-0.6,6.5,6.5,0.0,5.4,4.8,,6.6,9.7,0.5,20,1769,0,0.0,0,0,0,,,5.2,4.4,75,1,0,200,0,-0.02,-0.41,6/27/2025 12:40pm
Paul Onuachu,SOU,F,232,125.00,5.21,5,,300.00,300.00,11,29,39,7.7,7.0,-0.7,11.0,10.5,0.6,5.8,,,8.1,14.0,1.4,33,1028,0,0.0,0,0,0,,,6.4,4.0,72,0,7,200,0,0.00,-0.02,6/27/2025 12:40pm
Joao Pedro Ferreira da Silva,NOT,F,233,122.50,4.08,3,,300.00,300.00,5,13,14,6.7,4.8,-1.9,13.5,13.2,0.3,5.9,,,10.1,10.9,2.4,32,816,1,0.1,2,0,0,,,8.4,6.4,68,0,3,148,-37,-0.01,-0.05,6/27/2025 12:40pm
Darwin Nunez,LIV,F,234,122.25,4.22,56,checked,24.50,22.00,8,21,23,9.5,7.8,-1.8,10.8,10.5,0.3,5.2,,,6.7,17.5,1.6,48,1090,0,0.0,0,0,0,,,11.4,6.0,78,0,46,121,12,0.01,0.12,6/27/2025 12:40pm
Ryan Sessegnon,FUL,D,235,121.75,8.12,41,,307.30,179.50,7,18,22,13.2,15.0,1.8,20.5,16.3,4.2,9.9,11.2,,14.5,23.6,2.8,46,568,1,0.2,2,0,1,,,7.6,8.0,77,0,100,39,-2,0.06,0.45,6/27/2025 12:40pm
Jesper Lindstrom,EVE,M,236,121.50,4.86,4,,264.50,142.00,15,39,54,6.5,4.5,-2.0,9.0,10.8,-1.8,6.0,,,8.4,12.3,0.7,10,1219,42,3.1,51,16,0,,,,,,,3,200,0,-0.01,-0.08,6/27/2025 12:40pm
Destiny Udogie,TOT,D,237,121.25,5.05,45,checked,89.70,102.50,24,63,80,4.8,4.4,-0.4,5.5,6.2,-0.7,7.3,,,8.3,9.8,-0.2,16,1921,0,0.0,0,0,0,,3.25,3.9,5.8,84,1,25,200,0,-0.02,-0.47,6/27/2025 12:40pm
Joel Veltman,BHA,D,238,121.00,6.05,13,,1125.40,300.00,19,50,79,6.4,4.8,-1.6,6.4,6.9,-0.4,7.3,,,7.6,12.3,0.4,30,1692,0,0.0,0,0,0,,,5.7,5.5,84,0,0,200,0,0.00,-0.08,6/27/2025 12:40pm
Adam Wharton,CRY,M,239,120.75,6.04,45,,97.50,94.00,16,42,76,7.1,7.9,0.8,8.3,9.0,-0.7,6.3,3.6,,7.5,11.2,2.9,13,1311,27,1.8,29,22,0,,,5.8,5.0,80,0,75,200,0,0.00,0.01,6/27/2025 12:40pm
Jens Cajuste,IPS,M,240,120.25,4.15,1,checked,300.00,300.00,25,66,76,5.2,4.3,-1.0,6.2,6.0,0.2,4.6,5.1,,5.6,9.3,1.1,12,1950,0,0.0,0,0,0,,8.00,5.5,4.6,76,1,0,200,0,-0.02,-0.45,6/27/2025 12:40pm
Matt O'Riley,BHA,M,241,118.75,5.94,13,,300.00,300.00,11,29,46,7.6,6.3,-1.3,12.9,13.7,-0.8,6.8,5.5,,9.6,12.6,2.6,29,918,45,4.3,61,23,3,,,9.9,7.6,67,0,85,112,-8,0.01,0.06,6/27/2025 12:40pm
Kamaldeen Sulemana,SOU,M,242,118.25,4.73,6,checked,409.50,300.00,17,45,61,6.3,5.3,-1.1,8.2,8.1,0.1,5.5,4.5,,6.9,11.7,0.9,19,1386,0,0.0,0,0,0,,7.50,5.4,4.0,75,1,67,200,0,-0.01,-0.12,6/27/2025 12:40pm
Reece James,CHE,D,243,117.75,6.54,72,checked,63.60,60.50,12,32,52,8.4,7.5,-0.9,10.8,9.1,1.6,7.9,4.3,,9.7,15.3,1.4,33,1052,30,2.5,33,21,1,,2.00,8.2,6.8,71,1,75,69,15,0.02,0.19,6/27/2025 12:40pm
Christopher Nkunku,CHE,F,244,115.75,4.29,41,,33.30,27.00,9,24,27,8.5,6.5,-2.0,11.7,13.5,-1.7,5.4,,,8.2,17.7,-0.6,34,887,2,0.2,3,0,0,,,,,,,14,200,0,0.01,0.05,6/27/2025 12:40pm
Emmanuel Agbadou,WOL,D,245,115.00,7.67,23,checked,300.00,300.00,16,42,100,7.5,6.0,-1.5,7.7,7.5,0.1,8.5,7.0,,8.7,12.9,2.1,28,1410,1,0.1,1,0,0,,7.25,7.1,8.0,88,1,67,200,0,0.01,0.12,6/27/2025 12:40pm
Riccardo Calafiori,ARS,D,246,113.50,5.97,46,checked,88.90,98.50,11,29,50,7.7,7.5,-0.2,10.5,9.3,1.2,9.1,,,10.4,13.6,1.8,29,972,0,0.0,0,0,0,,,8.9,6.6,70,1,14,138,8,0.01,0.10,6/27/2025 12:40pm
Sander Berge,FUL,M,247,113.25,3.77,4,checked,300.00,300.00,26,68,84,3.7,4.3,0.6,4.7,5.0,-0.3,4.0,1.8,,5.0,7.0,0.4,3,2214,0,0.0,0,0,0,,,5.1,4.2,85,1,3,200,0,-0.03,-0.87,6/27/2025 12:40pm
James Garner,EVE,M,248,112.50,5.62,25,checked,145.10,156.50,17,45,77,6.4,6.0,-0.4,6.7,7.2,-0.5,6.4,6.5,,6.7,10.7,2.1,9,1584,31,1.8,29,15,1,,7.00,7.8,6.9,87,1,42,71,46,-0.01,-0.10,6/27/2025 12:40pm
Cameron Burgess,IPS,D,249,112.25,6.24,2,,1135.10,300.00,16,42,70,6.6,7.0,0.4,6.6,7.0,-0.4,10.0,10.1,,10.1,12.5,0.8,12,1539,0,0.0,0,0,0,,,6.3,7.8,90,0,0,200,0,0.00,-0.03,6/27/2025 12:40pm
Lucas Bergvall,TOT,M,250,111.25,4.12,8,,321.60,169.50,11,29,32,6.7,6.5,-0.2,8.4,8.3,0.2,6.3,,,7.7,10.4,3.1,13,1189,11,0.8,10,4,0,,,,,,,17,200,0,0.00,-0.03,6/27/2025 12:40pm
Joshua Zirkzee,MUN,F,251,110.50,3.45,33,,104.90,99.00,14,37,44,5.1,3.0,-2.1,7.3,8.2,-0.9,3.6,,,4.8,11.7,-1.5,35,1366,0,0.0,0,0,0,,,,,,,21,200,0,-0.02,-0.33,6/27/2025 12:40pm
Eddie Nketiah,CRY,F,252,110.00,3.93,20,checked,278.00,161.00,9,24,27,7.8,5.0,-2.8,10.0,12.8,-2.7,6.0,,,7.7,16.6,-1.1,35,1001,0,0.0,0,0,0,,,7.1,4.9,79,1,17,200,0,0.00,0.00,6/27/2025 12:40pm
Konstantinos Tsimikas,LIV,D,253,109.25,6.07,34,,245.20,160.00,9,24,26,9.9,9.5,-0.4,12.0,13.1,-1.1,9.2,11.7,,10.8,15.5,4.3,28,820,47,5.1,62,23,0,,,9.9,7.2,77,0,71,117,5,0.03,0.28,6/27/2025 12:40pm
Kyle Walker-Peters,SOU,D,254,109.25,3.31,12,,176.00,168.00,33,87,94,3.3,3.3,-0.1,3.4,3.8,-0.4,7.3,7.1,,7.4,8.7,-2.1,30,2918,3,0.1,2,0,0,,,1.3,4.9,88,0,0,200,0,-0.03,-1.15,6/27/2025 12:40pm
James Ward-Prowse,WHU,M,255,108.75,4.73,54,,37.70,38.50,17,45,50,6.3,6.0,-0.3,7.9,9.2,-1.2,5.8,6.7,,7.0,11.2,1.4,21,1427,47,4.1,74,27,0,,8.00,9.2,6.6,84,0,42,125,12,-0.01,-0.12,6/27/2025 12:40pm
Jean-Clair Todibo,WHU,D,256,108.50,4.17,5,checked,300.00,300.00,20,53,62,4.6,4.8,0.1,5.8,6.4,-0.6,6.6,6.5,,7.9,8.7,0.6,26,1816,0,0.0,0,0,0,,10.50,4.9,4.9,82,1,0,200,0,-0.02,-0.43,6/27/2025 12:40pm
Lesley Ugochukwu,SOU,M,257,107.75,4.31,1,checked,300.00,300.00,18,47,56,4.6,3.9,-0.7,6.0,5.9,0.1,4.5,4.0,,5.9,8.7,0.5,15,1647,0,0.0,0,0,0,,1.50,5.3,4.6,79,1,14,200,0,-0.02,-0.44,6/27/2025 12:40pm
David Brooks,BOU,M,258,106.75,3.81,2,checked,300.00,300.00,9,24,25,6.4,4.5,-1.9,11.6,12.6,-1.0,6.3,,,9.5,12.2,0.5,23,922,25,2.4,30,11,5,,11.00,11.6,8.3,67,1,0,200,0,-0.01,-0.06,6/27/2025 12:40pm
Boubacar Kamara,AVL,M,259,106.50,4.26,4,checked,1150.80,300.00,20,53,74,5.2,4.1,-1.0,5.7,5.9,-0.2,4.5,3.7,,5.1,9.0,1.4,14,1713,0,0.0,0,0,0,,2.25,5.9,5.1,80,1,0,200,0,-0.02,-0.37,6/27/2025 12:40pm
Flynn Downes,SOU,M,260,106.00,4.08,4,checked,398.40,300.00,25,66,86,4.4,4.5,0.1,4.7,4.8,-0.1,4.8,4.8,,5.1,7.4,1.5,12,2146,0,0.0,0,0,0,,5.50,4.2,3.7,84,1,0,200,0,-0.03,-0.65,6/27/2025 12:40pm
Ben Davies,TOT,D,261,104.75,6.55,6,,1135.80,300.00,14,37,58,6.8,7.5,0.7,7.0,7.3,-0.4,9.6,8.8,,10.0,12.4,1.3,18,1327,0,0.0,0,0,0,,,4.7,7.5,87,1,21,200,0,0.00,0.01,6/27/2025 12:40pm
Ben White,ARS,D,262,104.25,6.52,70,checked,38.40,45.00,13,34,65,8.5,8.0,-0.5,9.2,8.8,0.4,7.3,8.8,,8.1,13.1,4.0,36,1192,0,0.0,0,0,0,,12.25,9.9,7.2,86,1,89,106,23,0.02,0.23,6/27/2025 12:40pm
Rasmus Hojlund,MUN,F,263,104.00,3.35,58,checked,74.30,82.00,23,61,68,4.5,2.5,-2.0,5.1,5.9,-0.8,2.7,4.1,,3.3,10.1,-1.2,37,1989,0,0.0,0,0,0,,9.50,5.1,2.2,79,1,64,200,0,-0.03,-0.67,6/27/2025 12:40pm
Jhon Duran,AVL,F,264,103.00,5.15,12,,308.10,185.50,4,11,19,8.3,12.0,3.8,15.3,13.7,1.6,3.8,,,7.9,19.3,-2.8,61,606,0,0.0,0,0,0,,,,,,,0,200,0,0.00,0.01,6/27/2025 12:40pm
Pablo Sarabia,WOL,M,265,102.75,4.47,24,,119.90,111.50,7,18,23,5.5,5.0,-0.5,11.8,11.5,0.2,3.5,,,7.6,9.9,1.2,39,786,33,3.7,70,21,0,,,11.4,7.6,75,0,14,143,-12,-0.01,-0.10,6/27/2025 12:40pm
